IDJwb,IDPSJ,questions,answerKeys,answer,raw_grade,max_grade,grade,labela,label,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,grade_num,is_synthetic,inverse_words
11,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","Olah Pikir (karakter ini artinya teliti dan akademis)
Olah Hati (karakter ini artinya peduli dan emosional)
Olah Raga (karakter ini artinya teguh dan disiplin)
Olah Rasa dan Karsa (karakter ini artinya kreatif dan komunikatif)",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
12,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1 Olah rasa bewarna hijau: memiliki rasa yang nyaman
2 Olah pikir berwarna biru: mempunyai pikir yang positif
3 Olah hati berwarna kuning: mempunyai hati yang tenang damai
4 Olah keras bewarna merah : memiliki akal pintar 66",45,50,"9,00",A,5,,,,,,,,,,,,,,,,9,0,
13,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.",OLAHAN PIKIRAN,20,50,"4,00",D,2,,,,,,,,,,,,,,,,4,0,
14,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","karakter biru=rendah hati
karakter merah = komunikatif
karakter hijau= kreatif
karakter kuning=pintar",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
15,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","tidak egois
mau bersosialisasi dengan orang lain
saling membantu
tidak mensepelekan orang lain",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
16,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","OLAH RASA
OLAH RAGA
OLAH PIKIR
OLAH HATI",40,50,"8,00",B,4,,,,,,,,,,,,,,,,8,0,
17,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","karakter:
1.ketuhanan
2.bekerja sama
3.kuat",25,50,"5,00",D,2,,,,,,,,,,,,,,,,5,0,
18,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","memiliki rasa saling tolong menolong
memiliki rasa persatuan dan kesatuan
memiliki rasa kepedulian
memiliki rasa semboyan Bhinneka Tunggal Ika yang berarti berbada - beda tetapi 1 tujuan",30,50,"6,00",C,3,,,,,,,,,,,,,,,,6,0,
19,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. Olah Hati adalah karakter yang cinta damai dan harmonis dalam suatu diskusi
2. Olah Raga adalah karakter yang disiplin dan sangat tepat dalam mengerjakan sesuatu
3. Olah Pikir adalah karakter yang mempertimbangkan terlebih dahulu akibat-akibatnya sebelum membuat keputusan
4. Olah Rasa/Krasa adalah karakter yang kreatif dan komunikatif dalam suatu hal",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
20,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","karakter merah: karakter merah adalah karakter yang pekerja keras

karakter hijau: karakter hijau adalah karakter yang pintar dan cerdas

karakter kuning: karakter kuning adalah karakter yang kreatif

karakter biru: karakter biru adalah karakter yang baik hati",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
21,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1.Tidak memaksa kan kehendak adalah kita tidak boleh memaksakehendak diri sendiri.
2.Toleransi,kita harus toleransi terdapat sesama.
3.Tidak rasisme terhadap sesama
4.saling tolong menolong",30,50,"6,00",C,3,,,,,,,,,,,,,,,,6,0,
22,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. olah rasa
2. olah jiwa
3. olah emosi
4. olah batin",30,50,"6,00",C,3,,,,,,,,,,,,,,,,6,0,
23,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. Olah pikir adalah ketelitian dalam melakukan suatu hal
2. Olah hati adalah rasa saling memahami antar sesama
3. Olah raga adalah semangat yang dimiliki
4. Olah rasa adalah ekspresi yang dimiliki seseorang",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
24,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. Olah hati ( Karakter Biru )
Orang berkarakter biru biasanya bersifat baik hati dan rendah hati.
2. Olah raga ( Karakter Hijau )
Orang yang berkarakter hijau biasanya cenderung tegas, pekerja keras, dan jujur.
3. Olah akal ( Karakter Kuning)
Orang yang berkarakter kuning adalah orang yang akademis.
4. Olah rasa dan karya ( Karakter Merah )
Orang yang berkarakter merah adalah orang yang aktif.",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
25,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. olah pikir: memiliki  pola pikir yang akademik, dan cerdik
2. olahraga: memiliki daya tubuh yang kuat
3. intregritas: mempunyai pola pikir yang imajinatif dan kreatif
4. hati nurani: memiliki sifat yang penyabar dan baik hati",45,50,"9,00",A,5,,,,,,,,,,,,,,,,9,0,
26,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","biru      : disiplin
merah  : suka damai
hijau    : kreatif
kuning  : olah hati",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
27,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","olah raga= memiliki karakter yang patuh terhadap aturan
olah kasih =memiliki karakter yang lemah lembut
olah pikir=memiliki karakter yang berpikir positif
olah hati=memiliki karakter yang memiliki hati nurani",45,50,"9,00",A,5,,,,,,,,,,,,,,,,9,0,
28,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. Olah hati (hijau) adalah karakter yang cinta damai, dan harmonis.

2. Olah pikir adalah karakter yang berpikir teliti, dan hati-hati.

3. Olah raga (kuning) adalah karakter yang dimiliki oleh olahragawan yaitu karakter yang tekun.

4. Olah rasa dan kersa (merah) adalah karakter yang akademis, dan bersemangat.",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
29,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. olah hati ( karakter yang suka kedamaian dan kehidupan yang harmonis )
2. olah pikir ( karakter yang banyak pertimbangan dan teliti )
3. olahraga ( karakter disiplin yang biasanya dimiliki oleh olahragawan )
4. olah rasa dan karsa ( karakter orang yang kreatif, bersemangat dan biasanya karakter ini dimiliki oleh orang yang mudah bergaul )",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
30,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.",Ki Hajar Dewantara,10,50,"2,00",E,1,,,,,,,,,,,,,,,,2,0,
31,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","Olah raga, olah hati, olah rasa, olah pikir",40,50,"8,00",B,4,,,,,,,,,,,,,,,,8,0,
32,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. Olah hati.
2. Olah karsa.
3. Olah pikir.
4. Olah raga.",40,50,"8,00",B,4,,,,,,,,,,,,,,,,8,0,
33,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. Belarasa, karakter atau sikap turut merasakan apa yang terjadi pada kehidupan seseorang
2. Toleransi, sikap menghormati antar sesama
3. Menghargai, sikap menghargai sesama
4. Empati, sikap empati atau sikap turut prihatin",30,50,"6,00",C,3,,,,,,,,,,,,,,,,6,0,
34,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1.Olah raga
2.Olah rasa
3.Olah hati
4.Olah pikir",40,50,"8,00",B,4,,,,,,,,,,,,,,,,8,0,
35,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","menghilangkan sikap egois
menghilangkan sikap individualisme
salin menolong
peduli sesama.",30,50,"6,00",C,3,,,,,,,,,,,,,,,,6,0,
36,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. Olah hati (karakter biru) :
karakter yang memiliki sifat cinta damai dan kehidupan harmonis.
2. Olah pikir (karakter hijau) :
karakter yang memiliki sifat penuh pertimbangan, hati-hati, dan teliti.
3. Olah raga (karakter kuning) :
karakter ini dimiliki oleh para olahragawan. karakter ini memiliki sifat yang teguh dan bermental kuat.
4. Olah rasa dan karsa (karakter merah) :
karakter yang memiliki sifat komunikatif, aktif, dan bersemangat.",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
37,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","1. Pengolahan raga adalah saat kita bekerja sama dengan menggunakan fisik kita yang digunakan untuk saling membantu
2. Pengolahan akal saat kita tergerak untuk melaksanakan gotong royong bersama
3. Pengolahan jiwa saat kita bersemangat ataupun menghayati untuk bergotong royong dengan ikhlas
4. Pengolahan batin saat kita tergerak untuk berkerjasama",35,50,"7,00",B,4,,,,,,,,,,,,,,,,7,0,
38,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","Olah hati : Karakter yang cinta damai
Olah raga : karakter yang disiplin dan bermental kuat
Olah pikir : karakter yang penuh perhitungan dan teliti
Olah rasa dan karsa : karakter yang komunikatif",50,50,"10,00",A,5,,,,,,,,,,,,,,,,10,0,
39,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.","sikap saling ingin membantu sesama,sikap tidak egois,sikap yang saling empati satu sama lain,menghargai menghargai sesama masyarakat",30,50,"6,00",C,3,,,,,,,,,,,,,,,,6,0,
40,1,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,"Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.

Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.

Olah raga = Memiliki sifat dan mental yang kuat.

Olah hati dan karsa = Kreatif dalam melakukan sesuatu.",kosong,0,50,"0,00",E,1,,,,,,,,,,,,,,,,0,0,
