IDJwb,IDPSJ,questions_clean,answerKeys_clean,answer_clean,raw_grade,max_grade,grade,labela,label
11,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah pikir karakter ini artinya teliti dan akademis', 'olah hati karakter ini artinya peduli dan emosional', 'olah raga karakter ini artinya teguh dan disiplin', 'olah rasa dan karsa karakter ini artinya kreatif dan komunikatif']",50,50,"10,00",A,5
12,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah rasa bewarna hijau adalah memiliki rasa yang nyaman', 'olah pikir berwarna biru adalah mempunyai pikir yang positif', 'olah hati berwarna kuning adalah mempunyai hati yang tenang damai', 'olah keras bewarna merah adalah memiliki akal pintar 66']",45,50,"9,00",A,5
13,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']",['olahan pikiran'],20,50,"4,00",D,2
14,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['karakter biru adalah rendah hati', 'karakter merah adalah komunikatif', 'karakter hijau adalah kreatif', 'karakter kuning adalah pintar']",50,50,"10,00",A,5
15,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['tidak egois', 'mau bersosialisasi dengan orang lain', 'saling membantu', 'tidak mensepelekan orang lain']",50,50,"10,00",A,5
16,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah rasa', 'olah raga', 'olah pikir', 'olah hati']",40,50,"8,00",B,4
17,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['karakter adalah', 'ketuhanan', 'bekerja sama', 'kuat']",25,50,"5,00",D,2
18,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['memiliki rasa saling tolong menolong', 'memiliki rasa persatuan dan kesatuan', 'memiliki rasa kepedulian', 'memiliki rasa semboyan bhinneka tunggal ika yang berarti berbada beda tetapi 1 tujuan']",30,50,"6,00",C,3
19,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati adalah karakter yang cinta damai dan harmonis dalam suatu diskusi', 'olah raga adalah karakter yang disiplin dan sangat tepat dalam mengerjakan sesuatu', 'olah pikir adalah karakter yang mempertimbangkan terlebih dahulu akibat akibatnya sebelum membuat keputusan', 'olah rasa atau krasa adalah karakter yang kreatif dan komunikatif dalam suatu hal']",50,50,"10,00",A,5
20,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['karakter merah adalah karakter merah adalah karakter yang pekerja keras', 'karakter hijau adalah karakter hijau adalah karakter yang pintar dan cerdas', 'karakter kuning adalah karakter kuning adalah karakter yang kreatif', 'karakter biru adalah karakter biru adalah karakter yang baik hati']",50,50,"10,00",A,5
21,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['tidak memaksa kan kehendak adalah kita tidak boleh memaksakehendak diri sendiri', 'toleransi kita harus toleransi terdapat sesama', 'tidak rasisme terhadap sesama', 'saling tolong menolong']",30,50,"6,00",C,3
22,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah rasa', 'olah jiwa', 'olah emosi', 'olah batin']",30,50,"6,00",C,3
23,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah pikir adalah ketelitian dalam melakukan suatu hal', 'olah hati adalah rasa saling memahami antar sesama', 'olah raga adalah semangat yang dimiliki', 'olah rasa adalah ekspresi yang dimiliki seseorang']",50,50,"10,00",A,5
24,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati karakter biru', 'orang berkarakter biru biasanya bersifat baik hati dan rendah hati', 'olah raga karakter hijau', 'orang yang berkarakter hijau biasanya cenderung tegas pekerja keras dan jujur', 'olah akal karakter kuning', 'orang yang berkarakter kuning adalah orang yang akademis', 'olah rasa dan karya karakter merah', 'orang yang berkarakter merah adalah orang yang aktif']",50,50,"10,00",A,5
25,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah pikir adalah memiliki pola pikir yang akademik dan cerdik', 'olahraga adalah memiliki daya tubuh yang kuat', 'intregritas adalah mempunyai pola pikir yang imajinatif dan kreatif', 'hati nurani adalah memiliki sifat yang penyabar dan baik hati']",45,50,"9,00",A,5
26,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['biru adalah disiplin', 'merah adalah suka damai', 'hijau adalah kreatif', 'kuning adalah olah hati']",50,50,"10,00",A,5
27,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah raga adalah memiliki karakter yang patuh terhadap aturan', 'olah kasih adalah memiliki karakter yang lemah lembut', 'olah pikir adalah memiliki karakter yang berpikir positif', 'olah hati adalah memiliki karakter yang memiliki hati nurani']",45,50,"9,00",A,5
28,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati hijau adalah karakter yang cinta damai dan harmonis', 'olah pikir adalah karakter yang berpikir teliti dan hati hati', 'olah raga kuning adalah karakter yang dimiliki oleh olahragawan yaitu karakter yang tekun', 'olah rasa dan kersa merah adalah karakter yang akademis dan bersemangat']",50,50,"10,00",A,5
29,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati karakter yang suka kedamaian dan kehidupan yang harmonis', 'olah pikir karakter yang banyak pertimbangan dan teliti', 'olahraga karakter disiplin yang biasanya dimiliki oleh olahragawan', 'olah rasa dan karsa karakter orang yang kreatif bersemangat dan biasanya karakter ini dimiliki oleh orang yang mudah bergaul']",50,50,"10,00",A,5
30,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']",['ki hajar dewantara'],10,50,"2,00",E,1
31,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']",['olah raga olah hati olah rasa olah pikir'],40,50,"8,00",B,4
32,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati', 'olah karsa', 'olah pikir', 'olah raga']",40,50,"8,00",B,4
33,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['belarasa karakter atau sikap turut merasakan apa yang terjadi pada kehidupan seseorang', 'toleransi sikap menghormati antar sesama', 'menghargai sikap menghargai sesama', 'empati sikap empati atau sikap turut prihatin']",30,50,"6,00",C,3
34,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah raga', 'olah rasa', 'olah hati', 'olah pikir']",40,50,"8,00",B,4
35,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['menghilangkan sikap egois', 'menghilangkan sikap individualisme', 'salin menolong', 'peduli sesama']",30,50,"6,00",C,3
36,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati karakter biru adalah', 'karakter yang memiliki sifat cinta damai dan kehidupan harmonis', 'olah pikir karakter hijau adalah', 'karakter yang memiliki sifat penuh pertimbangan hati hati dan teliti', 'olah raga karakter kuning adalah', 'karakter ini dimiliki oleh para olahragawan', 'karakter ini memiliki sifat yang teguh dan bermental kuat', 'olah rasa dan karsa karakter merah adalah', 'karakter yang memiliki sifat komunikatif aktif dan bersemangat']",50,50,"10,00",A,5
37,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['pengolahan raga adalah saat kita bekerja sama dengan menggunakan fisik kita yang digunakan untuk saling membantu', 'pengolahan akal saat kita tergerak untuk melaksanakan gotong royong bersama', 'pengolahan jiwa saat kita bersemangat ataupun menghayati untuk bergotong royong dengan ikhlas', 'pengolahan batin saat kita tergerak untuk berkerjasama']",35,50,"7,00",B,4
38,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah hati adalah karakter yang cinta damai', 'olah raga adalah karakter yang disiplin dan bermental kuat', 'olah pikir adalah karakter yang penuh perhitungan dan teliti', 'olah rasa dan karsa adalah karakter yang komunikatif']",50,50,"10,00",A,5
39,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']",['sikap saling ingin membantu sesama sikap tidak egois sikap yang saling empati satu sama lain menghargai menghargai sesama masyarakat'],30,50,"6,00",C,3
40,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']",['kosong'],0,50,"0,00",E,1
41,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah rasa olah rasa adalah olah perasaan kita menjadi perasaan baik saat melakukan kerjasama dan gotong royong', 'olah hati olah hati adalah mengolah hati kita menjadi baik saat melakukan kerjasama atau gotong royong', 'olah pikiran olah pikiran adalah mengelola pikiran kita menjadi baik saat melakukan kerjasama atau gotong royong', 'soladaritas soladaritas adalah sikap menghargai satu sama lain tanpa membedakan suku ras agama saat melakukan gotong royong dan kerjasama']",40,50,"8,00",B,4
42,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['empat karakter yang di usulkan ki hajar dewantara untuk membangun kerjasama dan gotong royong adalah', 'karakter tolong menolong', 'karakter yang mau ikut serta dalam penderitaan atau kesusahan orang lain', 'karakter yang mau bekerja sama', 'karakter yang mementingkan kebersamaan']",30,50,"6,00",C,3
43,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['olah rasa adalah berwarna hijau', 'olah pikir adalah berwarna biru pikir', 'olah hati adalah berwarna kuning hati yang tenang damai', 'olah karsa dan adalah berwarna merah pinter teliti dab bisa berkembang']",45,50,"9,00",A,5
44,1,"['ada empat macam karakter atau olah yang diusulkan oleh ki hajar dewantara untuk membangun kerja sama dan gotong royong', 'jelaskan karakter karakter tersebut']","['olah pikir adalah berpikiran kritis dalam segala situasi yang terjadi', 'olah hati adalah melakukan suatu kegiatan berdasarkan hati nurani kita', 'olah raga adalah memiliki sifat dan mental yang kuat', 'olah hati dan karsa adalah kreatif dalam melakukan sesuatu']","['karakter karakter yang diusulkan oleh ki hajar dewantara adalah', 'karakter saling menolong', 'karakter yang mau bekerjasama', 'karakter yang peduli terhadap penderitaan orang lain', 'karakter yang mementingkan sikap rela berkorban dari segala penderitaan']",30,50,"6,00",C,3
