IDJwb,IDPSJ,grade,psj_idx,grade_num,is_synthetic,inverse_words
24,1,10,0,10,0,"1. Olah hati ( Karakter Biru ) Orang berkarakter biru biasanya bersifat baik hati dan rendah hati. 2. Olah raga ( Karakter Hijau ) Orang yang berkarakter hijau biasanya cenderung tegas, pekerja keras, dan jujur. 3. Olah akal ( Karakter Kuning) Orang yang berkarakter kuning adalah orang yang akademis. 4. Olah rasa dan karya ( Karakter Merah ) Orang yang berkarakter merah adalah orang yang aktif."
25,1,9,0,9,0,"1. olah pikir: memiliki pola pikir yang akademik, dan cerdik 2. olahraga: memiliki daya tubuh yang kuat 3. intregritas: mempunyai pola pikir yang imajinatif dan kreatif 4. hati nurani: memiliki sifat yang penyabar dan baik hati"
26,1,10,0,10,0,biru : disiplin merah : suka damai hijau : kreatif kuning : olah hati
27,1,9,0,9,0,olah raga= memiliki karakter yang patuh terhadap aturan olah kasih =memiliki karakter yang lemah lembut olah pikir=memiliki karakter yang berpikir positif olah hati=memiliki karakter yang memiliki hati nurani
28,1,10,0,10,0,"1. Olah hati (hijau) adalah karakter yang cinta damai, dan harmonis. 2. Olah pikir adalah karakter yang berpikir teliti, dan hati-hati. 3. Olah raga (kuning) adalah karakter yang dimiliki oleh olahragawan yaitu karakter yang tekun. 4. Olah rasa dan kersa (merah) adalah karakter yang akademis, dan bersemangat."
29,1,10,0,10,0,"1. olah hati ( karakter yang suka kedamaian dan kehidupan yang harmonis ) 2. olah pikir ( karakter yang banyak pertimbangan dan teliti ) 3. olahraga ( karakter disiplin yang biasanya dimiliki oleh olahragawan ) 4. olah rasa dan karsa ( karakter orang yang kreatif, bersemangat dan biasanya karakter ini dimiliki oleh orang yang mudah bergaul )"
30,1,2,0,2,0,Ki Hajar Dewantara
31,1,8,0,8,0,"Olah raga, olah hati, olah rasa, olah pikir"
32,1,8,0,8,0,1. Olah hati. 2. Olah karsa. 3. Olah pikir. 4. Olah raga.
33,1,6,0,6,0,"1. Belarasa, karakter atau sikap turut merasakan apa yang terjadi pada kehidupan seseorang 2. Toleransi, sikap menghormati antar sesama 3. Menghargai, sikap menghargai sesama 4. Empati, sikap empati atau sikap turut prihatin"
34,1,8,0,8,0,1.Olah raga 2.Olah rasa 3.Olah hati 4.Olah pikir
35,1,6,0,6,0,menghilangkan sikap egois menghilangkan sikap individualisme salin menolong peduli sesama.
36,1,10,0,10,0,"1. Olah hati (karakter biru) : karakter yang memiliki sifat cinta damai dan kehidupan harmonis. 2. Olah pikir (karakter hijau) : karakter yang memiliki sifat penuh pertimbangan, hati-hati, dan teliti. 3. Olah raga (karakter kuning) : karakter ini dimiliki oleh para olahragawan. karakter ini memiliki sifat yang teguh dan bermental kuat. 4. Olah rasa dan karsa (karakter merah) : karakter yang memiliki sifat komunikatif, aktif, dan bersemangat."
37,1,7,0,7,0,1. Pengolahan raga adalah saat kita bekerja sama dengan menggunakan fisik kita yang digunakan untuk saling membantu 2. Pengolahan akal saat kita tergerak untuk melaksanakan gotong royong bersama 3. Pengolahan jiwa saat kita bersemangat ataupun menghayati untuk bergotong royong dengan ikhlas 4. Pengolahan batin saat kita tergerak untuk berkerjasama
38,1,10,0,10,0,Olah hati : Karakter yang cinta damai Olah raga : karakter yang disiplin dan bermental kuat Olah pikir : karakter yang penuh perhitungan dan teliti Olah rasa dan karsa : karakter yang komunikatif
39,1,6,0,6,0,"sikap saling ingin membantu sesama,sikap tidak egois,sikap yang saling empati satu sama lain,menghargai menghargai sesama masyarakat"
40,1,1,0,1,0,kosong
41,1,8,0,8,0,"1.OLAH RASA OLAH RASA ADALAH OLAH PERASAAN KITA MENJADI PERASAAN BAIK SAAT MELAKUKAN KERJASAMA DAN GOTONG ROYONG 2.OLAH HATI OLAH HATI ADALAH MENGOLAH HATI KITA MENJADI BAIK SAAT MELAKUKAN KERJASAMA ATAU GOTONG ROYONG 3.OLAH PIKIRAN OLAH PIKIRAN ADALAH MENGELOLA PIKIRAN KITA MENJADI BAIK SAAT MELAKUKAN KERJASAMA ATAU GOTONG ROYONG 4.SOLADARITAS SOLADARITAS ADALAH SIKAP MENGHARGAI SATU SAMA LAIN TANPA MEMBEDAKAN SUKU,RAS,AGAMA SAAT MELAKUKAN GOTONG ROYONG DAN KERJASAMA"
42,1,6,0,6,0,Empat karakter yang di usulkan Ki Hajar Dewantara untuk membangun kerjasama dan gotong royong: -Karakter tolong menolong -Karakter yang mau ikut serta dalam penderitaan atau kesusahan orang lain -Karakter yang mau bekerja sama -Karakter yang mementingkan kebersamaan
43,1,9,0,9,0,OLAH rasa: berwarna hijau olah pikir: berwarna biru pikir olah hati: berwarna kuning hati yang tenang damai olah karsa dan : berwarna merah pinter teliti dab bisa berkembang
44,1,6,0,6,0,Karakter karakter yang diusulkan oleh Ki Hajar Dewantara : 1. Karakter saling menolong. 2. Karakter yang mau bekerjasama. 3. Karakter yang peduli terhadap penderitaan orang lain. 4. Karakter yang mementingkan sikap rela berkorban dari segala penderitaan.
45,1,8,0,8,0,1.olah raga 2.olah rasa 3.olah pikir. 4.olah hati
46,1,10,0,10,0,"Olah hati: suka damai, harmonis Olah pikir: hati hati,teliti Olah raga: cerdas Olah rasa: kreatif,komunikatif"
47,1,10,0,10,0,1. Olah hati Adalah mengolah hati kita saat kita ingin melalukan apapun itu supaya yg kita lakukan menjadi baik 2. Olah pikiran Adalah gimana kita cara mengolah pikiran kita supaya berpikir sebelum melakukan 3. Olah rasa Adalah gimana kita cara mengolah perasaan kita suapaya tidak gampang emosi 4. Solidaritas Adalah saling menghargai satu sama lain atau berbeda suku atau agama supaya menciptakan kehidupan yang harmonis
48,1,6,0,6,0,"- sikap saling ingin membantu sesama - sikap yang ingin bekerja sama dan tidak egois - sikap baik dan selalu ramah kepada masyarakat yang ada didaerah tersebut - sikap yang saling empati kepada sesama tanpa membeda bedakan dari suku, ras maupun agama"
49,1,7,0,7,0,-olah pikiran -olah raga -olah otak -olah tenaga
50,1,10,0,10,0,1.OLAH RASA;OLAH RASA ADALAH MENGOLAH PERASAAN KITA MENJADI PERASAAN YANG BAIK SAAT MELAKUKAN KERJASAMA DAN GOTONG ROYONG 2.OLAH PIKIRAN;JIKA OLAH PIKIRAN ADALAH MENGELOLA PIKIRAN KITA MENJADI BAIK SAAT KITA MELAKUKAN KERJASAMA DAN GOTONG ROYONG 3.OLAH SOLIDARITAS;SIKAP YANG MENHARGAI SAAT KITA MELAKUKAN KERJASAMA DAN GOTONG ROYONG 4.OLAH HATI;SAAT KITA MENGELOLA HATI KITA MENJADI BAIK SAAT MELAKUKAN KERJASAMA DAN GOTONG ROYONG
51,1,10,0,10,0,"Karakter biru=karakter biru itu biasanya cenderung ke orang yang suka menolong dan rendah hati karakter kuning=karakter kuning biasanya cenderung dimiliki oleh para orang yang suka berolahraga karena biasanya karakter kuning itu orang orang yang kuat dan berani karakter hijau=karakter hijau biasanya lebih cenderung mengajarkan ilmu ilmu pengetahuan,contohnya tentang ilmu agama karakter merah=karakter merah biasanya cenderung ke kereatifitas dan komukasi karakter merah gampang bergaul dengan orang lain"
52,1,6,0,6,0,1. saling menolong 2.saling bekerjasama 3. sikap saling peduli dengan sesama 4. sikap rela berkorban
53,1,10,0,10,0,"1. olah pikir : olah pikir adalah suatu kararter yang menggambarkan bahwa semakin kita dewasa kita harus mempunyai pikiran yang dewasa, berfikir kritis 2. olah raga : olah raga adalah suatu karakter yang menggambarkan bahwa kita harus mempunyai tingkat kekreatifan 3. olah hati : olah hati adalah karakter yang menggambrkan sikap kerendah hatian, yang dapat menimbulkan hal hal positif nanti nya 4. olah rasa : olah rasa adalah karakter yang menggambarkan bahwa setiap manusia harus mempunyai perasaan kpd sesama nya , rasa tanggung jawab, rasa ke pekaan, dan lain sebagainya"
54,1,4,0,4,0,mendapatkan lingkungan bersih mendapatkkan lingkunngan indah
55,1,6,0,6,0,"Tolong menolong, empati, sikap salidaritas yang tinggi, dan saling mendukung"
56,1,6,0,6,0,mempererat kesaudaraan antar bangsa indonesia membangun sosial yang baik tidak bergantung dengan satu orang pekerjaan yang berat menjadi gampang
57,1,8,0,8,0,1. Olah pikiran 2. Olah hati 3. Olah raga 4. Olah rasa atau karsa
58,1,10,0,10,0,Olah raga: mengolah raga kita untuk membantu orang lain. Olah rasa: mengolah rasa/perasaan kita terhadap sekitar. Olah pikir: mengolah pikiran dari diri kita. Olah hati: mengolah hati terhadap kondisi/situasi sekitar.
59,1,10,0,10,0,"- Olah rasa = Olah rasa adalah sifat yang kreatif dan mempunyai ide. - Olah pikir = Olah pikir adalah suatu pikiran yang akademis dan logika. - Olah raga = Olah raga adalah sifat yang berjiwa bergerak dan membantu sesama. - Olah hati = Olah hati adalah perasaan yang empati seperti baik, peduli, dan ingin saling menghargai sesama."
60,1,10,0,10,0,"1. Olah hati artinya seseorang mempunyai sifat yang bersemangat dan baik, suka membantu 2. Olah pikir artinya seseorang memiliki sifat yang cenderung lebih suka mencapai tujuan tertentu secara individu, dan juga pasti merasa kurang dengan hasil yang didapat seperti dalam pendidikan menginginkan nilai seratus dalam semua mata pelajaran. 3. Olah raga artinya seseorang bukan hanya memiliki tubuh yang kuat akan tetapi juga ada sifat pekerja keras, sopan, dan disiplin dalam latihan. contohnya dalam pertandingan bulutangkis ganda putra yang badan nya kecil cenderung mengambil cock bagian depan net atau shuttlecock, dan yang badan nya tinggi berada di bagian belakang untuk melakukan smash yang kencang. 4. Olah rasa artinya seseorang memiliki karakter yang baik dan cenderung lebih semangat."
61,1,1,0,1,0,"Dewi Ratna, Dewi Khanti, Eyang Prabu, Dewi Prambanan"
62,1,6,0,6,0,1. Olah rasa 2. Olah hati 3. Olah pikir 4. Tidak mengharap imbalan
63,1,6,0,6,0,1. sikap solidaritas 2. sikap persatuan 3. sikap saling tolong menolong 4. sikap persaudaraan 5. sikap peduli
64,1,10,0,10,0,1. olah biru Biasanya orang yang memiliki sikap olah biru ini cenderung lebih kreatif. 2. Olah merah Biasanya orang yang memiliki karakter olah merah cenderung lebih pintar dalam mencari jalan keluar setiap masalah. 3. Olah hijau Biasanya orang yang memiliki karakter ini cenderung lebih sabar dalam mengerjakan suatu pekerjaan. 4. Olah kuning Biasanya orang dengan karakter olah kuning memiliki sikap yang lebih bisa menerima kelemahan setiap orang.
65,1,6,0,6,0,bersatu untuk menjadikan indonesia sebagai negara yang makmur dan adil bersama-sama untuk memperthankan negara indonesia mempertahankan negara indonesia dari negara lain berjuang untuk indonesia menjadi negara maju
66,1,8,0,8,0,1. Olah hati: adalah karakter yang harmonis. 2. Olah pikir: adalah karakter yang pemikir. 3. Olah mental: adalah karakter yang berani dan memiliki mental yang kuat. 4. Olah kuat: adalah karakter yang tangguh dan kuat.
67,1,6,0,6,0,"1. tidak mudah menyerah dalam hal apapun 2. disiplin waktu dalam melakukan apapun 3. tidak ,membeda bedakan ras agama dan suku 4. menghormati sesama teman yang berbeda ras suku agama dan juga menghormati orang yang lebih tua"
68,1,10,0,10,0,"Ki Hadjar Dewantara mengusulkan 4 macam karakter untuk membangun kerjasama dan gotong royong. Karakter tsb adalah: 1. Olah hati OIah hati adalah karakter yang suka damai dan harmonis, menghindari pertikaian/konflik. 2. Olah raga Olah raga adalah untuk tekun dalam hal yang sedang dikerjakan. Olah raga juga berarti disiplin dan teguh. 3. Olah rasa & karsa Olah rasa & karsa adalah karakter seseorang yang kreatif dan komunikatif. 4. Olah pikir Olah pikir adalah kemampuan seseorang untuk berpikir, pintar secara akademis."
69,1,10,0,10,0,olah pikir sikap pikir akademis dan teliti olah hati sikap yang suka harmonis olah raga sikap yang disiplin olah rasa sikap kreatif
70,1,1,0,1,0,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?
71,1,8,0,8,0,"olah rasa, olah hati,olah pikir,olah raga"
72,1,6,0,6,0,1.berkerja sama untuk mencapai tujuan yang ingin dicapai 2.mau menolong dan membantu antar satu dengan lainnya 3.untuk menumbuhkan sikap persatuan dan kesatuan
73,1,10,0,10,0,"1. Olah Hati = Olah hati adalah orang yang selalu berpikiran dan berperilaku positif. Biasanya, orang yang memiliki olah hati memiliki hati yang damai dan harmonis. 2. Olah pikir = Olah pikir adalah orang yang berhati-hati, penuh pertimbangan, teliti, dan akademis. 3. Olah Raga = Olah Raga adalah orang yang selalu tekun dan disiplin, biasanya orang yang memiliki karakter olah raga memiliki mental yang kuat. 4. Olah Rasa dan Karsa = Olah Rasa dan Karsa adalah orang yang memiliki karakter yang kreatif dan komunikatif."
74,1,8,0,8,0,1. Olah hati. 2. Olah karsa. 3. Olah pikir. 4. Olah raga.
75,1,6,0,6,0,1. Pantang menyerah 2. Tak membeda-bedakan sesama 3. Menghargai sesama 4. Mempunyai sifat solidaritas yang tinggi
76,1,6,0,6,0,1. bijaksana 2. sikap peduli 3. sikap bermusyawarah 4. sikap belarasa
77,1,6,0,6,0,1. Belarasa adalah sikap yang turut serta melakukan kegiatan sesuatu 2. Membantu sesama adalah sikap yang suka membantu orang yang kesusahan 3. Toleransi adalah sikap menghormati antar sesama 4. Etos Kerja adalah sikap semangat kerja yang tinggi
78,1,6,0,6,0,saling membantu sesama menghormati dan menghargai orang persatuan dan kesatuan rela berkorban
79,1,7,0,7,0,"OLAH PIKIR,OLAH KERJA,OLAH OLAHRAGA,OLAH MEMAHAMI"
80,1,6,0,6,0,"tidak membeda-bedakan suku,ras,agama toleransi saling menghargai dan menghormati tidak mencari kelemahan dari pendapat teman"
81,1,6,0,6,0,1.Saling peduli 2.Saling membantu 3.Tidak membedakan suku antar lain 4.Mau toleransi kepada orang lain
82,1,10,0,10,0,biru: disiplin merah:suka damai hijau: kreatif kuning:olah hati
83,1,10,0,10,0,"1. Olah pikir Karakter yang membuat kita berpikir sebelum bertindak 2. OLah hati Karakter yang membuat kita agar selalu memiliki sikap baik hati 3. Olah raga Karakter yang membuat kita agar tetap selalu menjaga kesehatan dan jiwa raga kita 4, Olah rasa Karakter agar kita selalu memiliki perasaan yang baik dan tidak sombong terhadap yang kita miliki"
84,1,10,0,10,0,olah hati: karakter yang cinta damai serta kehidupan harmonis. berwarna: biru olah pikir: karakter yang penuh pertimbangan dan teliti. berwarna; hijau olah raga: karakter yang tekun dan disiplin. berwarna: kuning olah rasa dan karsa: karakter yang penuh perasaan yang baik berwarna: merah
85,1,8,0,8,0,Olah hati adalah mengolah hati kita supaya bisa melakukan kerja sama dan gotong royong olah rasa adalah olah fisik adalah tidak hanya olahr olah karakter adalah
86,1,6,0,6,0,"karakter yang dibangun Ki Hajar Dewantara adalah berani, menghargai satu sama lain, tidak membeda - bedakan orang lain."
87,1,10,0,10,0,1. Olah hati Olah hati adalah mengolah hati kita menjadi hati yang lembut 2. Olah pikir Olah pikir adalah mengolah pemikiran kita menjadi pemikiran yang baik dan positif 3. Olah raga Olah raga adalah mengolah tubuh menjadi lebih sehat dan kuat 4. Olah rasa Olah rasa adalah mengolah perasaan kita agar menjadi baik
88,1,1,0,1,0,kosong
89,1,9,0,9,0,"Olah hati yang dimana menjelaskan sebuah karakter yang memiliki sifat rendah hati didalam kelompok, bukan rendah diri Olah pikir sebuah karakter yang cenderung berpikir sebelum bertindak. Biasanya karakter ini lebih teliti Olah raga bukanlah sebuah olahraga dalam tubuh, namun adanya pikiran di dalam raga seseorang didalam suatu kelompok Olah seni dan budaya sebuah karakter yang cenderung memberikan ide ide dan wawasan yang bagus dalam kelompok Olah tanggung jawab sebuah karakter yang mempertanggung jawabkan semua perilaku di dalam kelompok"
90,1,10,0,10,0,olah hati merupakan rasa cinta yang harmonis olah raga merupakan kemampuan orang lain olah rasa merupakan rasa harmonis olah pikir merupakan kebahagiaan hati hati serta teliti
91,1,1,0,1,0,kosong
92,1,1,0,1,0,"Olah tubuh, olah-olahan"
93,1,1,0,1,0,"suka menolong, suka membantu memasak dan lain-lain."
94,1,1,0,1,0,dewi kumalasari melatih diri bertapa di tepi sungai gangga.
95,1,1,0,1,0,"karakter yang tenan, berbudi luhur, suka membantu dan suka menolong."
96,1,4,0,4,0,"Untuk mendapatkan lingkungan yang bersih dan indah, penting untuk mengelola sampah dengan baik melalui pemisahan dan daur ulang, serta mengurangi penggunaan plastik sekali pakai."
97,1,4,0,4,0,"Olahraga merupakan aktivitas fisik yang dilakukan secara teratur dan terencana untuk meningkatkan kebugaran tubuh, kesehatan mental, dan kesejahteraan secara keseluruhan."
98,1,4,0,4,0,"karakter yang lincah dengan olah raga, yang senang berbagi juga."
99,1,4,0,4,0,Karakter yang tumbuh dan berkembang menjadi menyenangkan karena olah rasa yang baik.
100,1,4,0,4,0,"Karakter yang tumbuh dan berkembang memiliki kemampuan untuk mengolah rasa dengan baik, sehingga dapat menghadapi berbagai situasi dengan bijak dan penuh kesadaran."
101,1,4,0,4,0,Karakter yang baik bisa dibentuk juga dengan berolah raga karena membuat tubuh menjadi bugar dan sehat.
102,2,3,1,3,0,not responding yaitu software mengalami kegagalan perintah sedangkan hang sistem tidak dapat menanggapi perintah
103,2,3,1,3,0,"Not Responding adalah suatu keadaan dimana software yang dugunakan mengalami kegagalan perintah, sedangkan hang adalah sistem/OS yang tidak dapat menanggapi segala perintah yang dimasukkan yang mengarah pada kerusakan komputer."
104,2,8,1,8,0,"- Not Responding : Sistem operasi memberikan sebuah perintah pada proses kemudian proses tersebut gagal menjalankannya dalam batas waktu tertentu. - Hang : sebuah proses tidak pernah keluar dari kondisi not responding, kemudian besar terjadi deadlock kemudian proses akan hang."
105,2,8,1,8,0,Not Respon (recoverable) jika proses gagal menjalankannya dalam batas waktu tertentu (masih ada tanda akan kembali normal). Hang (unrecoverable) Jika proses tidak pernah keluar dari kondisi not responding (gajelas).
106,2,3,1,3,0,"Not Responding adalah suatu keadaan dimana software yang dugunakan mengalami kegagalan perintah, dan mengakibatkan software tersebut tidak dapat memahami apa yang diperintahkan,Sedangkan adalah suatu sistem/OS yang tidak dapat menanggapi segala perintah yang dimasukkan, tentunya mengarah pada kerusakan komputer."
107,2,5,1,5,0,"Not Responding: Terjadi ketika aplikasi berhenti merespons karena kesalahan koneksi internet. Hang: tidak pernah keluar dari ""not responding""."
108,2,5,1,5,0,Not Responding: Aplikasi tidak merespons karena gangguan di RAM.Hang: Ketika program tidak bisa kembali normal berjalan di latar belakang.
109,2,5,1,5,0,Not Responding: Terjadi karena beban CPU yang terlalu tinggi.Hang: mengakibatkan sistem perlu dimatikan secara paksa.
110,2,5,1,5,0,"not responding : peristiwa yang terjadi ketika sistem operasi memberikan sebuah perintah pada proses (misalnya menutup sebuah jendela), kemudian proses gagal menjalankannya dalam batas waktu tertentu, not responding dapat dikatakan jika sistem operasinya recoverable"
111,2,3,1,3,0,"not responding adalah kondisi pada software yang digunakan mengalami kegagalan perintah, jadi software tidak memahami perintah yang diberikan. sedangkan hang adalah kondisi pada komputer yang tidak merespon semua perintah yang diberikan dari keyboard maupun mouse."
112,2,8,1,8,0,"Not responding adalah suatu keadaan ketika OS meminta software/program untuk menjalankan suatu perintah dan program gagal untuk menjalankan permintaan tersebut dalam waktu tertentu maka program akan mengalami ""Not Responding"" sedangkan jika program tersebut tidak pernah keluar dari keadaan tersebut maka program tersebut mengalami ""hung"""
113,2,3,1,3,0,"Not Responding adalah suatu keadaan dimana software yang dugunakan mengalami kegagalan perintah, dan mengakibatkan software tersebut tidak dapat memahami apa yang diperintahkan Hang adalah OS yang tidak dapat menanggapi segala perintah yang dimasukkan, tentunya mengarah pada kerusakan komputer."
114,2,3,1,3,0,"Not Responding, suatu keadaan dimana software yang dugunakan mengalami kegagalan perintah dan mengakibatkan software tersebut tidak dapat memahami apa yang diperintahkan, dan komputer pun akan memberikan sebuah pertanyaan apakan mau menunggu atau mengakhiri secara paksa, sedangkan Hang komputer tidak dapat menerima perintah yang dimasukan komputer dan mengarah kepada kerusakan komputer"
115,2,3,1,3,0,"Not Responding merupakan suatu keadaan yang mengarah pada keadaan di mana software yang digunakan mengalami kegagalan perintah, sedangkan Hang itu dimaksudkan ketika suatu sistem/OS tidak dapat menanggapi segala perintah yang di masukan, ini berarti mengarah kepada kerusakan komputer tersebut."
116,2,3,1,3,0,"Perbedaannya yaitu Pengertian secara umum 'hang' adalah no respond, sedangkan dalam bidang komputer hang dimaksudkan suatu sistem/OS yang tidak dapat menanggapi segala perintah yang dimasukkan, tentunya mengarah pada kerusakan komputer namun kalau kondisi hang, komputer tidak dapat merespon segala perintah yang diberikan dari mouse maupun keyboard."
117,2,3,1,3,0,"Perbedaan not responding dan hang adalah apabila not responding adalah keadaan dimana software mengalami kegagalan perintah sehingga software tidak memahami apa yang diperintahkan dan komputer akan memberikan pertanyaan apakah user ingin menunggu atau mengakhiri aplikasi secara paksa, sedangkan hang adalah keadaan dimana sistem operasi tidak dapat menanggapi segala perintah yang dimasukkan dimana mengarah pada kerusakan komputer, keadaan hang ini mengakibatkan komputer tidak dapat merespon perintah dari mouse ataupun keyboard sedangkan not responding dapat merespon perintah dari mouse ataupun keyboard."
118,2,8,1,8,0,"hang yaitu Jika proses tidak pernah keluar dari kondisi not responding, kemungkinan besar terjadi deadlock, kemudian proses akan unrecoverable, sedangkan Not Responding adalah Jika sistem operasi memberikan sebuah perintah pada proses (misal: membaca keystroke atau menutup sebuah jendela) kemudian proses gagal menjalankannya dalam batas waktu tertentu"
119,2,5,1,5,0,"not responding: program tidak responsive dikarenakan sedang menunggu resource yang akan di gunakan. hang: program mengalami deadlock, dimana program mengalami proses menunggu tidak henti dikarenakan peristiwa deadlock"
120,2,3,1,3,0,"hang' adalah no respond, sedangkan dalam bidang komputer hang dimaksudkan suatu sistem/OS yang tidak dapat menanggapi segala perintah yang dimasukkan, tentunya mengarah pada kerusakan komputer."
121,2,8,1,8,0,"perbedaan utamanya adalah not responding masih ada kemungkinan untuk bisa dijalankan atau keluar dari deadlock, sedangkan hang sudah tidak bisa lagi keluar, cara satu-satunya adalah mematikan komputer dan booting ulang."
122,2,3,1,3,0,"Not responding adalah suatu keadaan dimana software yang digunakan mengalami kegagalan perintah, dan mengakibatkan software tersebut tidak dapat memahami apa yang diperintahkan, dan komputer akan memeberikan sebuah pertanyaan apakah mau menunggu atau mengakhiri aplikasi tersebut secara paksa. Hang adalah kondisi suatu sistem/OS yang tidak dapat menanggapi segala perintah yang dimasukkan, tentunya mengarah pada kerusakan komputer. Pada kondisi hang, komputer tidak dapat merespon segala perintah yang diberikan dari mouse maupun keyboard."
